Początek okresu raportowania,Koniec okresu raportowania,Nazwa kampanii,Wyświetlenia w kampanii,Wyniki,Wskaźnik wyników,Koszt wyników,Budżet zestawu reklam,Typ budżetu zestawu reklam,Wydana kwota (USD),Wyświetlenia,Zasięg,Zakończenie,Ustawienie atrybucji
2026-07-31,2026-07-31,Leads Agency PL,inactive,,,,10,Dzienny,5.26,860,747,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Pracownik Magazynowy PL/ RU/ ENG Leads,inactive,1,actions:leadgen.other,15.07,15,Dzienny,15.07,900,759,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,PL Agency Ads,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,RU Leads Poltrakt CE PL S/F Start 20.06.2026,inactive,,,,30,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Leads ENG Poltrakt Week/Cadence Poland,inactive,8,actions:leadgen.other,1.45625,20,Dzienny,11.65,3272,2552,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,PL Agency Ads Start 14.05.2026,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Poltrakt PL Magazynier,inactive,,,,5,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Poltrakt Drivers CE Week/Full,inactive,,,,Użycie budżetu zestawu reklam,0,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Poltrakt PL CE Italy/ pol leads,inactive,,,,11,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-31,2026-07-31,Poltrakt PL CE Pol Leads,inactive,,,,7,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,Leads Agency PL,inactive,2,actions:leadgen.other,5.935,10,Dzienny,11.87,1922,1412,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,Pracownik Magazynowy PL/ RU/ ENG Leads,inactive,3,actions:leadgen.other,6.89333333,15,Dzienny,20.68,1494,1214,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,Leads PL Dyspozytor Poltrakt,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,PL Agency Ads,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,RU Leads Poltrakt CE PL S/F Start 20.06.2026,inactive,,,,30,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,Leads RU Mrozek 100 eur,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,Leads ENG Poltrakt Week/Cadence Poland,inactive,12,actions:leadgen.other,1.53833333,20,Dzienny,18.46,5116,3384,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
2026-07-30,2026-07-30,PL Agency Ads Start 14.05.2026,inactive,,,,10,Dzienny,0,0,0,W toku,Kliknięcia z 7 dni lub wyświetlenia z 1 dnia
