kind	code	source	tenant_module	enabled	required_as_found	storage_path	consumers	legacy_usage	notes
document	code95	requirement_rules.document_pack.documents	recruitment	true	blocking	document_type_code	backend/app/requirement_rules/manifests/recruitment.py	requirement_pack_document	observed_code_not_canonized
document	driver_license	candidate_profile.config.document_configs	platform_seed	true	optional	config_blob	backend/app/services/candidate_document_checklist.py;hostflow-frontend/src/utils/profileUtils.ts	driver_ce_default_seed	observed_code_not_canonized
document	driver_license	requirement_rules.document_pack.documents	recruitment	true	blocking	document_type_code	backend/app/requirement_rules/manifests/recruitment.py	requirement_pack_document	observed_code_not_canonized
document	driver_license_with_code95	requirement_rules.document_pack.slots	recruitment	true	blocking	slot	backend/app/requirement_rules/manifests/recruitment.py	requirement_pack_slot	observed_slot_code
document	identity_document	candidate_profile.config.document_configs	platform_seed	true	required	config_blob	backend/app/services/candidate_document_checklist.py;hostflow-frontend/src/utils/profileUtils.ts	driver_ce_default_seed	observed_code_not_canonized
document	identity_document	requirement_rules.document_pack.slots	recruitment	true	blocking	slot	backend/app/requirement_rules/manifests/recruitment.py	requirement_pack_slot	observed_slot_code
document	legal_stay_confirmation	requirement_rules.document_pack.slots	recruitment	true	blocking	slot	backend/app/requirement_rules/manifests/recruitment.py	requirement_pack_slot	observed_slot_code
document	medical_certificate	candidate_profile.config.document_configs	platform_seed	true	optional	config_blob	backend/app/services/candidate_document_checklist.py;hostflow-frontend/src/utils/profileUtils.ts	driver_ce_default_seed	observed_code_not_canonized
document	medical_fitness	requirement_rules.document_pack.slots	recruitment	true	blocking	slot	backend/app/requirement_rules/manifests/recruitment.py	requirement_pack_slot	observed_slot_code
document	passport	requirement_rules.document_pack.documents	recruitment	true	blocking	document_type_code	backend/app/requirement_rules/manifests/recruitment.py	requirement_pack_document	observed_code_not_canonized
document	psychological_tests	requirement_rules.document_pack.slots	recruitment	true	blocking	slot	backend/app/requirement_rules/manifests/recruitment.py	requirement_pack_slot	observed_slot_code
document	qualification_code95	candidate_profile.config.document_configs	platform_seed	true	required	config_blob	backend/app/services/candidate_document_checklist.py;hostflow-frontend/src/utils/profileUtils.ts	driver_ce_default_seed	observed_code_not_canonized
document	swiadectwo_kierowcy	candidate_profile.config.document_configs	platform_seed	true	optional	config_blob	backend/app/services/candidate_document_checklist.py;hostflow-frontend/src/utils/profileUtils.ts	driver_ce_default_seed	observed_code_not_canonized
document	tacho_card	requirement_rules.document_pack.documents	recruitment	true	blocking	document_type_code	backend/app/requirement_rules/manifests/recruitment.py	requirement_pack_document	observed_code_not_canonized
document	tachograph_card	candidate_profile.config.document_configs	platform_seed	true	optional	config_blob	backend/app/services/candidate_document_checklist.py;hostflow-frontend/src/utils/profileUtils.ts	driver_ce_default_seed	observed_code_not_canonized
document	tachograph_card	requirement_rules.document_pack.slots	recruitment	true	blocking	slot	backend/app/requirement_rules/manifests/recruitment.py	requirement_pack_slot	observed_slot_code
document	voivodeship_decision	requirement_rules.document_pack.slots	recruitment	true	blocking	slot	backend/app/requirement_rules/manifests/recruitment.py	requirement_pack_slot	observed_slot_code
field	birth_date	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	citizenship	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	country_code	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	current_location	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	email	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	employment_history	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
