test_id	area	isolated_rerun
tests/admin/test_leads_import.py::test_leads_import_sync_creates_leads	tests/admin	fails alone
tests/admin/test_leads_import.py::test_leads_import_sync_idempotent	tests/admin	fails alone
tests/api/admin/test_meta_leads.py::test_meta_leads_mapping_and_reroute	tests/api	fails alone
tests/api/admin/test_meta_leads.py::test_meta_leads_retry_endpoint	tests/api	fails alone
tests/api/admin/test_meta_leads.py::test_settings_leads_forbidden_for_recruiter	tests/api	fails alone
tests/api/admin/test_meta_leads.py::test_superadmin_bootstrap_meta_uses_operational_tenant	tests/api	fails alone
tests/api/test_acquisition_flight_ad_binding.py::test_attach_ad_binding_reprocesses_missing_campaign_flight	tests/api	passes alone
tests/api/test_admin_org_units.py::test_admin_users_list_supervisor_ok	tests/api	fails alone
tests/api/test_admin_org_units.py::test_invite_with_org_unit_id	tests/api	fails alone
tests/api/test_admin_org_units.py::test_user_org_units_patch	tests/api	fails alone
tests/api/test_admin_users.py::test_owner_can_create_user_without_password	tests/api	fails alone
tests/api/test_admin_users.py::test_owner_can_reset_change_and_delete_user	tests/api	fails alone
tests/api/test_admin_users.py::test_owner_can_revoke_pending_invite	tests/api	fails alone
tests/api/test_admin_users.py::test_owner_invite_role_change_activation_flow	tests/api	fails alone
tests/api/test_admin_v2.py::test_candidate_delete_workflow	tests/api	fails alone
tests/api/test_admin_v2.py::test_invite_accept_assigns_role_and_acl	tests/api	fails alone
tests/api/test_adr022_intake_policy_phase1.py::test_adr022_public_match_or_create_attach	tests/api	fails alone
tests/api/test_adr022_intake_policy_phase1.py::test_adr022_public_match_or_create_no_match	tests/api	fails alone
tests/api/test_adr022_intake_policy_phase1.py::test_adr022_public_submit_idempotent	tests/api	fails alone
tests/api/test_analytics_funnel_m5.py::test_analytics_funnel_metrics_track_pipeline_scope	tests/api	fails alone
tests/api/test_analytics_funnel_m5.py::test_analytics_funnel_requires_company_or_legacy_flag	tests/api	fails alone
tests/api/test_analytics_funnel_m5.py::test_analytics_funnel_service_binds_active_funnel	tests/api	fails alone
tests/api/test_b1_questionnaire_send.py::test_questionnaire_invite_rejects_inactive_lead_form	tests/api	fails alone
tests/api/test_billing_addon_pack_checkout.py::test_addon_pack_lead_forms_mock_increases_cap	tests/api	fails alone
tests/api/test_billing_addon_pack_checkout.py::test_addon_pack_mock_leads_increases_usage_cap	tests/api	fails alone
tests/api/test_billing_quota_headroom.py::test_billing_summary_recruiter_forbidden	tests/api	fails alone
tests/api/test_calendar_integration.py::test_calendar_connection_oauth_complete_and_refresh	tests/api	fails alone
tests/api/test_candidate_assignment_queue.py::test_claim_forbidden_recruiter_outside_company_scope	tests/api	fails alone
tests/api/test_candidate_assignment_queue.py::test_create_company_only_is_unassigned_claim_marks_claimed	tests/api	fails alone
tests/api/test_candidate_assignment_queue.py::test_lead_claimed_emits_audit_event	tests/api	fails alone
tests/api/test_candidate_assignment_queue.py::test_list_filter_assignment_state_unassigned	tests/api	passes alone
tests/api/test_candidate_doc_pipeline_forward_guard.py::test_forward_allowed_contacted_when_vacancy_set	tests/api	passes alone
tests/api/test_candidate_internal_note_no_side_effects.py::test_internal_note_under_application_lock_does_not_move_recruitment_or_side_channels	tests/api	fails alone
tests/api/test_candidate_patch_override_after_create.py::test_patch_changes_existing_candidate_owned_field_without_override_422	tests/api	passes alone
tests/api/test_candidate_patch_override_after_create.py::test_patch_personal_fields_after_minimal_create_without_override_ok	tests/api	passes alone
tests/api/test_candidate_requirement_pipeline_guard.py::test_checklist_pipeline_blockers_single_legal_stay_row	tests/api	fails alone
tests/api/test_candidate_requirement_pipeline_guard.py::test_pipeline_guard_allows_forward_when_requirements_fulfilled	tests/api	fails alone
tests/api/test_candidate_requirements_integration.py::test_approve_evidence_marks_requirement_fulfilled	tests/api	fails alone
tests/api/test_candidate_requirements_integration.py::test_replace_evidence_supersedes_previous_row	tests/api	fails alone
tests/api/test_communications_access.py::test_email_dispatch_worker_gmail_oauth_uses_provider_send_adapter	tests/api	fails alone
tests/api/test_communications_access.py::test_email_dispatch_worker_marks_failed_after_retry_exhaustion	tests/api	fails alone
tests/api/test_communications_access.py::test_email_dispatch_worker_schedules_retry_on_oauth_send_failure	tests/api	fails alone
tests/api/test_communications_access.py::test_email_oauth_real_exchange_and_refresh_path_uses_provider_adapter	tests/api	fails alone
tests/api/test_communications_access.py::test_email_poll_worker_gmail_oauth_ingests_and_updates_cursor	tests/api	fails alone
tests/api/test_communications_access.py::test_generic_ingest_updates_linked_candidate_on_existing_telegram_thread	tests/api	fails alone
tests/api/test_communications_access.py::test_outbound_thread_message_allowed_without_mandatory_link	tests/api	fails alone
tests/api/test_companies.py::test_company_bootstrap_assigns_owner_and_manager	tests/api	fails alone
tests/api/test_companies.py::test_company_limit_applies_only_to_operating_profiles	tests/api	fails alone
tests/api/test_companies.py::test_company_profile_workflow	tests/api	fails alone
tests/api/test_companies.py::test_first_company_forces_operating_role	tests/api	fails alone
tests/api/test_company_module_settings_api.py::test_fleet_settings_unknown_field_422	tests/api	fails alone
tests/api/test_company_module_settings_api.py::test_get_hr_module_settings_defaults	tests/api	fails alone
tests/api/test_company_module_settings_api.py::test_hr_officer_can_get_not_patch	tests/api	fails alone
tests/api/test_company_module_settings_api.py::test_hr_settings_unknown_field_422	tests/api	fails alone
tests/api/test_company_module_settings_api.py::test_invalid_module_key_422	tests/api	fails alone
tests/api/test_company_module_settings_api.py::test_module_disabled_when_tenant_hr_off	tests/api	fails alone
tests/api/test_company_module_settings_api.py::test_patch_and_get_fleet_settings	tests/api	fails alone
tests/api/test_company_module_settings_api.py::test_patch_and_get_hr_settings	tests/api	fails alone
tests/api/test_company_module_settings_api.py::test_patch_recruitment_default_candidate_funnel	tests/api	fails alone
tests/api/test_company_module_settings_api.py::test_recruiter_forbidden	tests/api	fails alone
tests/api/test_document_dossier_zones.py::test_viewer_channel_filters_db_candidate_documents	tests/api	fails alone
tests/api/test_document_merge_api.py::test_merge_generate_by_code_with_oc_fallback	tests/api	fails alone
tests/api/test_document_merge_api.py::test_merge_template_crud_and_generate	tests/api	fails alone
tests/api/test_document_open_phase2.py::test_db_hr_channel_not_used_for_employee_transport_doc_workforce_file_ok	tests/api	passes alone
tests/api/test_document_open_phase2.py::test_hr_workforce_list_emits_workforce_open_urls_not_candidate_file	tests/api	passes alone
tests/api/test_documents.py::test_apply_template_creates_missing_documents_with_workflow	tests/api	fails alone
tests/api/test_documents.py::test_document_workflow_step_reminders	tests/api	fails alone
tests/api/test_documents.py::test_driver_certificate_requires_work_permit	tests/api	fails alone
tests/api/test_documents.py::test_order_document_blocked_until_checklist_ready	tests/api	fails alone
tests/api/test_documents.py::test_order_work_permit_sets_meta_and_workflow	tests/api	fails alone
tests/api/test_documents_module.py::test_documents_db_flow	tests/api	fails alone
tests/api/test_fleet_assignments_date_filter.py::test_fleet_assignments_filtered_by_service_window	tests/api	fails alone
tests/api/test_fleet_line_seasonality_from_data_api.py::test_seasonality_blend_assignments_and_roster	tests/api	fails alone
tests/api/test_fleet_line_seasonality_from_data_api.py::test_seasonality_from_data_insufficient_without_assignments	tests/api	fails alone
tests/api/test_fleet_line_seasonality_from_data_api.py::test_seasonality_from_data_normalized_weights	tests/api	fails alone
tests/api/test_fleet_line_seasonality_from_data_api.py::test_seasonality_roster_source_vehicle_membership	tests/api	fails alone
tests/api/test_fleet_manager_rbac.py::test_hr_officer_fleet_vehicles_forbidden	tests/api	fails alone
tests/api/test_fleet_module_tenant_gate.py::test_fleet_overview_403_when_fleet_module_disabled	tests/api	fails alone
tests/api/test_fleet_park_api.py::test_fleet_trailers_create_requires_identifier	tests/api	fails alone
tests/api/test_fleet_work_models_api.py::test_fleet_work_models_list_ok	tests/api	fails alone
tests/api/test_funnels_api_company_scope_m4.py::test_funnels_api_create_sets_module_key_and_company	tests/api	fails alone
tests/api/test_funnels_api_company_scope_m4.py::test_funnels_api_legacy_readonly_guard	tests/api	fails alone
tests/api/test_funnels_api_company_scope_m4.py::test_funnels_api_list_allows_tenant_catalog_without_company	tests/api	fails alone
tests/api/test_funnels_api_company_scope_m4.py::test_funnels_api_schema_allows_employee_type_constant	tests/api	fails alone
tests/api/test_funnels_api_hr_h5.py::test_company_module_settings_validates_hr_pipeline_funnel	tests/api	fails alone
tests/api/test_funnels_api_hr_h5.py::test_funnels_api_create_hr_employee_branch	tests/api	fails alone
tests/api/test_funnels_api_hr_h5.py::test_funnels_api_list_supports_hr_module_key	tests/api	fails alone
tests/api/test_funnels_api_hr_h5.py::test_funnels_api_recruitment_create_does_not_use_employee_type	tests/api	fails alone
tests/api/test_funnels_api_hr_h5.py::test_hr_cms_validation_rejects_recruitment_module	tests/api	fails alone
tests/api/test_global_search.py::test_global_search_task_team_scope_supervisor_sees_recruiter_reminder	tests/api	fails alone
tests/api/test_handoff_create_gate.py::test_handoff_bulk_returns_structured_gate_errors	tests/api	passes alone
tests/api/test_handoff_create_gate.py::test_handoff_create_returns_409_handoff_docs_incomplete	tests/api	passes alone
tests/api/test_handoff_decision_gate.py::test_ready_for_handoff_blocked_by_decision_contract	tests/api	fails alone
tests/api/test_handoff_internal_hr.py::test_hr_internal_lane_patch_allowlist_after_accept	tests/api	fails alone
tests/api/test_handoff_internal_hr.py::test_internal_hr_handoff_locks_recruiter_edit_hr_can_edit_and_checklist_tasks	tests/api	fails alone
tests/api/test_handoff_internal_hr.py::test_internal_hr_handoff_not_in_client_portal_default_list	tests/api	passes alone
tests/api/test_handoff_internal_hr.py::test_meta_stages_hr_officer_internal_hr_lane	tests/api	fails alone
tests/api/test_handoff_snapshot.py::test_client_processor_can_read_own_company_handoff_snapshot	tests/api	fails alone
tests/api/test_handoff_snapshot.py::test_handoff_snapshot_immutable_after_candidate_and_doc_changes	tests/api	fails alone
tests/api/test_handoff_snapshot.py::test_hr_officer_cannot_read_client_portal_handoff_snapshot	tests/api	fails alone
tests/api/test_hiring_rbac_access_matrix.py::test_hr_officer_jwt_blocked_from_candidates_list	tests/api	fails alone
tests/api/test_hiring_rbac_multitenant_handoff.py::test_recruiter_jwt_with_foreign_x_tenant_id_no_candidate_leak	tests/api	fails alone
tests/api/test_hr_acceptance_stage_b_delayed_workforce.py::test_delayed_workforce_accept_then_approve_creates_employee_and_hr_bundle	tests/api	fails alone
tests/api/test_hr_dashboard.py::test_hr_dashboard_compliance_grouping	tests/api	passes alone
tests/api/test_hr_dashboard.py::test_hr_dashboard_high_risk_item	tests/api	passes alone
tests/api/test_hr_dashboard.py::test_hr_dashboard_recruiter_forbidden	tests/api	fails alone
tests/api/test_hr_dashboard.py::test_hr_dashboard_summary_counters	tests/api	passes alone
tests/api/test_hr_dashboard.py::test_hr_dashboard_workload_groups_tasks	tests/api	passes alone
tests/api/test_hr_documents_hub.py::test_hr_documents_hub_recruiter_forbidden	tests/api	fails alone
tests/api/test_hr_documents_hub.py::test_hr_documents_hub_row_from_context	tests/api	passes alone
tests/api/test_hr_documents_queue.py::test_hr_documents_expiring_high_risk_live_horizon	tests/api	passes alone
tests/api/test_hr_documents_queue.py::test_hr_documents_missing_after_accept_and_recruiter_forbidden	tests/api	fails alone
tests/api/test_hr_documents_queue.py::test_hr_documents_missing_snapshot_context_not_live_valid	tests/api	fails alone
tests/api/test_hr_handoff_idempotency_g4.py::test_repeat_from_candidate_is_idempotent	tests/api	passes alone
tests/api/test_hr_handoff_idempotency_g4.py::test_repeat_from_candidate_preserves_advanced_pipeline_stage	tests/api	passes alone
tests/api/test_hr_inbox.py::test_hr_inbox_pending_tasks_accepted_and_recruiter_forbidden	tests/api	fails alone
tests/api/test_hr_operational_context_after_handoff.py::test_hr_operational_context_case_links_and_hr_review_does_not_replace_recruitment_check	tests/api	fails alone
tests/api/test_hr_operational_context_after_handoff.py::test_hr_review_forbidden_for_recruiter_and_supervisor	tests/api	fails alone
tests/api/test_hr_review_document_sot.py::test_hr_review_panel_links_candidate_passport_and_blocks_approve	tests/api	passes alone
tests/api/test_hr_review_workflow.py::test_approve_hr_verification_gate_uses_decision_contract	tests/api	fails alone
tests/api/test_hr_review_workflow.py::test_approve_with_blockers_returns_hr_review_blocked	tests/api	passes alone
tests/api/test_hr_review_workflow.py::test_hr_review_panel_after_accept	tests/api	passes alone
tests/api/test_hr_review_workflow.py::test_manual_checklist_verify_gated_items_are_blocked	tests/api	passes alone
tests/api/test_hr_review_workflow.py::test_reject_sets_rejected_by_hr	tests/api	passes alone
tests/api/test_hr_review_workflow.py::test_request_corrections_sets_waiting_documents	tests/api	passes alone
tests/api/test_hr_review_workflow.py::test_return_to_recruitment_sets_status	tests/api	passes alone
tests/api/test_hr_verification_pr15_e2e.py::test_hybrid_blocked_plan_approve_returns_422	tests/api	passes alone
tests/api/test_hr_verification_pr15_e2e.py::test_hybrid_ready_plan_approve_returns_200	tests/api	fails alone
tests/api/test_invoices_guardrails.py::test_from_service_order_creates_invoice_success	tests/api	fails alone
tests/api/test_invoices_guardrails.py::test_from_service_order_maps_recipient_guardrail_to_400	tests/api	fails alone
tests/api/test_lead_communications.py::test_application_received_skipped_without_destination_pipeline	tests/api	fails alone
tests/api/test_lead_communications.py::test_moving_forward_skipped_without_destination_pipeline	tests/api	fails alone
tests/api/test_lead_communications.py::test_no_email_still_skips_pipeline_first	tests/api	fails alone
tests/api/test_lead_communications.py::test_reject_skips_without_pipeline	tests/api	fails alone
tests/api/test_lead_duplicate_decision.py::test_duplicate_decision_attach_existing	tests/api	fails alone
tests/api/test_lead_duplicate_decision.py::test_duplicate_decision_create_new_then_process	tests/api	fails alone
tests/api/test_lead_duplicate_decision.py::test_duplicate_decision_ignore_skips_suggested_without_candidate	tests/api	fails alone
tests/api/test_lead_forms_settings.py::test_lead_forms_fourth_active_on_team_plan_402	tests/api	fails alone
tests/api/test_lead_intake_decision.py::test_pool_intent_process_without_vacancy_creates_candidate_and_application	tests/api	fails alone
tests/api/test_lead_intake_decision.py::test_qualify_after_confirm_vacancy_allows_process	tests/api	fails alone
tests/api/test_lead_rodo_auto.py::test_auto_on_lead_created_no_email_sets_pending_channel	tests/api	fails alone
tests/api/test_lead_rodo_auto.py::test_auto_on_lead_created_sends_rodo	tests/api	fails alone
tests/api/test_lead_rodo_auto.py::test_meta_webhook_replay_does_not_send_rodo_twice	tests/api	fails alone
tests/api/test_lead_rodo_gate.py::test_send_rodo_and_process_ok	tests/api	fails alone
tests/api/test_lead_rodo_gate.py::test_source_provided_then_process_ok	tests/api	fails alone
tests/api/test_lead_vacancy_confirm.py::test_confirm_vacancy_rejects_wrong_source	tests/api	fails alone
tests/api/test_lead_vacancy_confirm.py::test_confirm_vacancy_then_process_assisted	tests/api	fails alone
tests/api/test_leads_delete.py::test_delete_lead_returns_204_and_get_404	tests/api	fails alone
tests/api/test_leads_meta.py::test_leads_list_endpoint	tests/api	fails alone
tests/api/test_leads_meta.py::test_meta_lead_duplicate	tests/api	fails alone
tests/api/test_leads_meta.py::test_meta_lead_processed	tests/api	fails alone
tests/api/test_leads_meta.py::test_meta_lead_processed_services_flow_emits_telegram_events	tests/api	fails alone
tests/api/test_leads_meta.py::test_meta_webhook_idempotent_processing	tests/api	fails alone
tests/api/test_leads_meta.py::test_services_leads_list_returns_company_outcome	tests/api	fails alone
tests/api/test_meta_stages_employee_h4.py::test_meta_stages_employee_pipeline_requires_company_id	tests/api	fails alone
tests/api/test_meta_stages_employee_h4.py::test_meta_stages_employee_pipeline_uses_hr_pe_mapping_filter	tests/api	fails alone
tests/api/test_platform_tenants.py::test_create_tenant_admin_endpoint	tests/api	fails alone
tests/api/test_public_intake.py::test_public_intake_client_application_creates_lead_on_submit	tests/api	fails alone
tests/api/test_public_intake.py::test_public_intake_client_creates_company_lead_without_company	tests/api	fails alone
tests/api/test_public_intake.py::test_public_intake_create_with_vacancy_id	tests/api	fails alone
tests/api/test_public_intake.py::test_public_intake_full_flow	tests/api	fails alone
tests/api/test_public_intake.py::test_public_status_endpoint	tests/api	fails alone
tests/api/test_public_intake_lead_forms.py::test_public_intake_resolves_tenant_from_slug_without_x_tenant_header	tests/api	fails alone
tests/api/test_public_intake_presentation_p7.py::test_p7_submit_presentation_creates_lead_draft_not_candidate	tests/api	fails alone
tests/api/test_questionnaire_ssot_repair.py::test_questionnaire_context_endpoint	tests/api	passes alone
tests/api/test_questionnaire_ssot_repair.py::test_questionnaire_invite_with_locale	tests/api	fails alone
tests/api/test_questionnaire_ssot_repair.py::test_repair_sets_profile_code_and_tenant_presentation	tests/api	fails alone
tests/api/test_recruiter_access.py::test_recruiter_can_list_candidates	tests/api	fails alone
tests/api/test_recruiter_access.py::test_recruiter_can_update_stage	tests/api	fails alone
tests/api/test_recruiter_access.py::test_recruiter_can_view_pipeline	tests/api	fails alone
tests/api/test_recruiter_access.py::test_recruiter_cannot_access_foreign_candidate	tests/api	fails alone
tests/api/test_recruiter_access.py::test_recruiter_cannot_create_candidate_in_foreign_company	tests/api	fails alone
tests/api/test_recruiter_access.py::test_recruiter_document_crud	tests/api	fails alone
tests/api/test_recruitment_company_module_enforcement.py::test_bulk_stage_fails_per_row_when_recruitment_disabled	tests/api	fails alone
tests/api/test_recruitment_company_module_enforcement.py::test_get_candidate_403_when_company_disables_recruitment	tests/api	fails alone
tests/api/test_recruitment_company_module_enforcement.py::test_list_candidates_excludes_company_when_recruitment_disabled	tests/api	fails alone
tests/api/test_recruitment_company_module_enforcement.py::test_post_candidate_403_when_company_disables_recruitment	tests/api	fails alone
tests/api/test_recruitment_lock_bulk_guard.py::test_create_contact_attempt_forbidden_when_application_handed_off	tests/api	fails alone
tests/api/test_requirement_pipeline_overrides.py::test_requirement_waiver_allows_pipeline_forward	tests/api	fails alone
tests/api/test_requirements_workspace.py::test_workspace_handoff_ready_after_all_evidence_approved	tests/api	fails alone
tests/api/test_requirements_workspace_combined_license.py::test_workspace_combined_license_path_satisfied	tests/api	fails alone
tests/api/test_requirements_workspace_combined_license.py::test_workspace_separate_license_path_satisfied	tests/api	fails alone
tests/api/test_requirements_workspace_gates.py::test_handoff_create_blocked_when_open_operational_requirement	tests/api	fails alone
tests/api/test_requirements_workspace_gates.py::test_handoff_create_blocked_when_workspace_handoff_not_ready	tests/api	fails alone
tests/api/test_requirements_workspace_gates.py::test_stage_and_handoff_allowed_when_workspace_handoff_ready	tests/api	fails alone
tests/api/test_return_to_recruitment_consistency.py::test_return_to_recruitment_releases_operational_lock_and_repeat_handoff_no_duplicates	tests/api	fails alone
